time_dn,glideslope_error_deg,localizer_error_deg,airspeed_error_kts,total_error
738193.796648108,-0.1308,-0.0082,-0.4078,0.5468
738193.796650662,-0.1305,-0.0087,-0.4918,0.631
738193.796653229,-0.1295,-0.0097,-0.5949,0.7341
738193.796655821,-0.1284,-0.0107,-0.6133,0.7524
738193.796658366,-0.1274,-0.0116,-0.5977,0.7367
738193.796660942,-0.1266,-0.0128,-0.5736,0.713
738193.796663529,-0.1255,-0.0138,-0.5515,0.6908
738193.796666094,-0.1243,-0.0138,-0.5349,0.673
738193.796668658,-0.1234,-0.015,-0.5236,0.662
738193.796671253,-0.1221,-0.016,-0.5163,0.6544
738193.796673817,-0.1209,-0.017,-0.5117,0.6496
738193.79667638,-0.1198,-0.0172,-0.5093,0.6463
738193.796678954,-0.1185,-0.0182,-0.5081,0.6448
738193.79668152,-0.1172,-0.0183,-0.508,0.6435
738193.796684102,-0.1161,-0.0194,-0.5086,0.6441
738193.796686659,-0.115,-0.0203,-0.5095,0.6448
738193.796689256,-0.1137,-0.0205,-0.511,0.6452
738193.796691818,-0.1126,-0.0208,-0.5129,0.6463
738193.796694384,-0.1112,-0.0208,-0.515,0.647
738193.796696951,-0.1097,-0.0218,-0.5175,0.649
738193.796699537,-0.1085,-0.0221,-0.5201,0.6507
738193.796703181,-0.1072,-0.0221,-0.523,0.6523
738193.796705702,-0.1057,-0.0224,-0.5258,0.6539
738193.796708274,-0.1045,-0.0226,-0.5288,0.6559
738193.796710828,-0.103,-0.0227,-0.532,0.6577
738193.796713417,-0.1017,-0.0229,-0.5352,0.6598
738193.796715965,-0.1002,-0.023,-0.5385,0.6617
738193.796718542,-0.0986,-0.023,-0.5417,0.6633
738193.796721099,-0.0973,-0.0233,-0.5449,0.6655
738193.796723688,-0.0958,-0.0233,-0.5482,0.6673
738193.796726239,-0.0943,-0.0225,-0.5514,0.6682
738193.796728825,-0.093,-0.0227,-0.5545,0.6702
738193.796731392,-0.0915,-0.0228,-0.5577,0.672
738193.796733958,-0.0903,-0.0221,-0.5607,0.6731
738193.796736527,-0.0888,-0.0221,-0.5638,0.6747
738193.796739095,-0.0873,-0.0213,-0.5668,0.6754
738193.796741677,-0.0861,-0.0215,-0.5697,0.6773
738193.796744272,-0.0846,-0.0206,-0.5726,0.6778
738193.796746811,-0.0834,-0.0199,-0.5754,0.6787
738193.796749385,-0.082,-0.02,-0.578,0.68
738193.796751951,-0.0806,-0.0191,-0.5806,0.6803
738193.796754549,-0.0795,-0.0184,-0.583,0.6809
738193.796757088,-0.0782,-0.0175,-0.5854,0.6811
738193.796759674,-0.0771,-0.0168,-0.5875,0.6814
738193.796762264,-0.0758,-0.016,-0.5896,0.6814
738193.796764801,-0.0748,-0.0152,-0.5916,0.6816
738193.796767384,-0.0736,-0.0144,-0.5935,0.6815
738193.796769968,-0.0726,-0.0146,-0.5953,0.6825
738193.79677254,-0.0715,-0.0137,-0.597,0.6822
738193.796775097,-0.0704,-0.0128,-0.5985,0.6817
738193.79677766,-0.0695,-0.0121,-0.5999,0.6815
738193.796780243,-0.0684,-0.0112,-0.6011,0.6807
738193.796782798,-0.0676,-0.0105,-0.6021,0.6802
738193.796785386,-0.0666,-0.0096,-0.6029,0.6791
738193.796787948,-0.0659,-0.0089,-0.6036,0.6784
738193.796790517,-0.0649,-0.009,-0.6041,0.678
738193.796793077,-0.0642,-0.0083,-0.6044,0.6769
738193.796795678,-0.0633,-0.0074,-0.6046,0.6753
738193.796798231,-0.0624,-0.0065,-0.6047,0.6736
738193.796800815,-0.0617,-0.0067,-0.6047,0.6731
738193.796803388,-0.0609,-0.0058,-0.6046,0.6713
738193.796805949,-0.0603,-0.0051,-0.6044,0.6698
738193.796808509,-0.0595,-0.0042,-0.6041,0.6678
738193.796811083,-0.059,-0.0035,-0.6037,0.6662
738193.796813646,-0.0583,-0.0035,-0.6031,0.6649
738193.79681622,-0.0576,-0.0026,-0.6025,0.6627
738193.796818781,-0.0571,-0.0019,-0.6019,0.6609
738193.796821367,-0.0567,-0.0012,-0.6011,0.659
738193.796823929,-0.056,-0.0003,-0.6002,0.6565
738193.796826503,-0.0554,-0.0006,-0.5993,0.6553
738193.796829073,-0.055,-0.0013,-0.5983,0.6546
738193.796831655,-0.0544,-0.0022,-0.5972,0.6538
738193.796834212,-0.0541,-0.003,-0.5961,0.6532
738193.796836795,-0.0535,-0.0039,-0.5949,0.6523
738193.796839353,-0.0532,-0.0046,-0.5936,0.6514
738193.796841922,-0.0527,-0.0055,-0.5924,0.6506
738193.796844494,-0.052,-0.0074,-0.5912,0.6506
738193.796847074,-0.0517,-0.0081,-0.5899,0.6497
738193.796849644,-0.0511,-0.009,-0.5887,0.6488
738193.796852225,-0.0508,-0.0107,-0.5875,0.649
738193.796854785,-0.0502,-0.0116,-0.5862,0.648
738193.796857369,-0.0496,-0.0135,-0.585,0.6481
738193.796859948,-0.0493,-0.0142,-0.5838,0.6473
738193.796862536,-0.0487,-0.0161,-0.5826,0.6474
738193.796865078,-0.0484,-0.0178,-0.5814,0.6476
738193.796867643,-0.0479,-0.0197,-0.5801,0.6477
738193.79687021,-0.0473,-0.0216,-0.579,0.6479
738193.796872783,-0.0469,-0.0233,-0.5779,0.6481
738193.796875346,-0.0463,-0.0252,-0.577,0.6485
738193.796877927,-0.0456,-0.027,-0.5762,0.6488
738193.796880491,-0.0451,-0.0297,-0.5756,0.6504
738193.796883077,-0.0444,-0.0316,-0.5752,0.6512
738193.796885631,-0.0435,-0.0335,-0.5749,0.6519
738193.796888213,-0.0429,-0.0352,-0.5747,0.6528
738193.796890778,-0.0421,-0.0381,-0.5748,0.655
738193.796893374,-0.0411,-0.04,-0.5749,0.656
738193.796895912,-0.0404,0.0417,-0.5752,0.6573
738193.79689849,-0.0394,0.0436,-0.5757,0.6587
738193.796901061,-0.0384,0.0465,-0.5762,0.6611
738193.796903636,-0.0375,0.0482,-0.5769,0.6626
738193.796906193,-0.0364,0.0502,-0.5776,0.6642
738193.796908783,-0.0355,0.0519,-0.5785,0.6659
738193.796911347,-0.0343,0.0528,-0.5794,0.6665
738193.796913912,-0.0331,0.0548,-0.5803,0.6682
738193.796916493,-0.0321,0.0565,-0.5812,0.6698
738193.79691906,-0.0309,0.0584,-0.5821,0.6714
738193.796921624,-0.0299,0.0592,-0.5831,0.6722
738193.796924191,-0.0287,0.0611,-0.584,0.6738
738193.796926769,-0.0274,0.0621,-0.585,0.6745
738193.796929348,-0.0265,0.0638,-0.586,0.6763
738193.7969319,-0.0252,0.0648,-0.5871,0.6771
738193.796934487,-0.0242,0.0665,-0.5883,0.679
738193.796937075,-0.0229,0.0675,-0.5895,0.6799
738193.796939619,-0.0219,0.0683,-0.5908,0.681
738193.796942196,-0.0206,0.0693,-0.5921,0.682
738193.796944766,-0.0195,0.07,-0.5933,0.6828
738193.796947334,-0.0182,0.071,-0.5945,0.6837
738193.796949902,-0.0171,0.0708,-0.5956,0.6835
738193.796952514,-0.0159,0.0718,-0.5967,0.6844
738193.796955044,-0.0146,0.0727,-0.5977,0.685
738193.796957609,-0.0136,0.0726,-0.5986,0.6848
738193.796960185,-0.0123,0.0725,-0.5995,0.6843
738193.796962795,-0.0113,0.0733,-0.6003,0.6849
738193.796965336,-0.0104,0.0731,-0.601,0.6845
738193.796967897,-0.0092,0.0731,-0.6016,0.6839
738193.796970469,-0.0083,0.0739,-0.602,0.6842
738193.796973052,-0.0071,0.0739,-0.6024,0.6834
738193.796975609,-0.0063,0.0737,-0.6026,0.6826
738193.796978212,-0.0052,0.0737,-0.6024,0.6813
738193.796980753,-0.0044,0.0735,-0.6015,0.6794
738193.796983355,-0.0033,0.0735,-0.5988,0.6756
738193.796985976,-0.0025,0.0733,-0.5938,0.6696
738193.796988475,-0.0013,0.0743,-0.5858,0.6614
738193.796991049,-0.0003,0.0741,-0.5749,0.6493
738193.796993614,0.001,0.0741,-0.5615,0.6366
738193.79699622,0.0023,0.0741,-0.5462,0.6226
738193.79699874,0.0039,0.0741,-0.5297,0.6077
738193.797001318,0.0053,0.0739,-0.5128,0.592
738193.797003885,0.0072,0.0739,-0.4955,0.5766
738193.797006464,0.0092,0.0739,-0.4782,0.5613
738193.797009047,0.0114,0.0749,-0.4613,0.5476
738193.797011651,0.0138,0.0749,-0.4449,0.5336
738193.797014167,0.0164,0.0749,-0.4292,0.5205
738193.797016763,0.0192,0.0748,-0.4142,0.5082
738193.797019337,0.0222,0.0758,-0.4,0.498
738193.797021885,0.0251,0.0756,-0.3868,0.4875
738193.797024486,0.0288,0.0768,-0.3743,0.4799
738193.797027028,0.0325,0.0768,-0.363,0.4723
738193.7970296,0.0364,0.0778,-0.3525,0.4667
738193.797032168,0.0405,0.0778,-0.343,0.4613
738193.797034745,0.0449,0.0788,-0.3344,0.4581
738193.797037309,0.0495,0.0798,-0.3268,0.4561
738193.797039882,0.0543,0.0798,-0.3202,0.4543
738193.797042454,0.0594,0.0807,-0.3144,0.4545
738193.797045021,0.0648,0.0807,-0.3096,0.4551
738193.797047618,0.0704,0.0817,-0.3057,0.4578
738193.797050165,0.0762,0.0827,-0.3025,0.4614
738193.797052743,0.0826,0.0829,-0.3003,0.4658
